,year,region,christianity_all,judaism_all,islam_all,buddhism_all,hinduism_all,noreligion_all,religion_all,population,world_population,christianity_percent,judaism_percent,islam_percent,buddhism_percent,hinduism_percent,noreligion_percent,Unnamed: 17,worldpopulation_percent,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
51,1995,Asia,259779112,195111,606168389,408209553,717365785,574222830,2736417009,3228425512,5670000000,0.0805,0.0001,0.1878,0.1264,0.2222,0.1779,,0.5694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1995,Mideast,17023562,4638374,340695671,0,4791,323129,373792871,374116000,5670000000,0.0455,0.0124,0.9107,0.0,0.0,0.0009,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1995,Europe,512007252,2565349,41542293,1497063,699215,176181859,569770141,745952000,5670000000,0.6864,0.0034,0.0557,0.002,0.0009,0.2362,,0.1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1995,America,681814919,6552112,2988500,2182414,1481887,46460699,718024052,754990021,5670000000,0.9031,0.0087,0.004,0.0029,0.002,0.0615,,0.1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2000,Africa,336756649,104482,188503322,142869,1902086,5809663,613155338,618965000,6077000000,0.5441,0.0002,0.3045,0.0002,0.0031,0.0094,,0.1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2000,Asia,256892044,148450,697689629,381710232,870077984,584748329,2975462044,3488405040,6077000000,0.0736,0.0,0.2,0.1094,0.2494,0.1676,,0.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2000,Mideast,16678853,4956077,376076983,88823,1141268,1775785,408006515,409782300,6077000000,0.0407,0.0121,0.9177,0.0002,0.0028,0.0043,,0.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2000,Europe,571107445,2243767,47729841,3099355,764336,113729094,631867789,745596883,6077000000,0.766,0.003,0.064,0.0042,0.001,0.1525,,0.1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2000,America,709488193,5993536,4048465,3214777,1720060,76349251,758188398,823033224,6077000000,0.862,0.0073,0.0049,0.0039,0.0021,0.0928,,0.1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2005,Africa,397001958,105776,213125720,182161,2118924,7178005,696444995,703623000,6436000000,0.5642,0.0002,0.3029,0.0003,0.003,0.0102,,0.1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2005,Asia,275275093,127286,749421842,466101118,940599251,524304023,3229061362,3666155352,6436000000,0.0751,0.0,0.2044,0.1271,0.2566,0.143,,0.5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2005,Mideast,18237497,5309425,408154695,105908,1454979,2652435,443306418,445958853,6436000000,0.0409,0.0119,0.9152,0.0002,0.0033,0.0059,,0.0693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2005,Europe,559337643,2123463,51230517,3059535,996551,114977698,629783902,744761600,6436000000,0.751,0.0029,0.0688,0.0041,0.0013,0.1544,,0.1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2005,America,740879276,6604378,4521572,4668399,2191657,94709150,790035448,875196370,6436000000,0.8465,0.0075,0.0052,0.0053,0.0025,0.1082,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2010,Africa,460005841,106121,246404472,224181,2347387,8889456,790602945,799492401,6839000000,0.5754,0.0001,0.3082,0.0003,0.0029,0.0111,,0.1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2010,Asia,287921863,123356,804756836,478920926,1008830303,541453380,3399956676,3857553138,6839000000,0.0746,0.0,0.2086,0.1242,0.2615,0.1404,,0.5641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2010,Mideast,19813797,5604499,448620067,142503,2284384,3612800,487680237,491293037,6839000000,0.0403,0.0114,0.9131,0.0003,0.0046,0.0074,,0.0718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2010,Europe,557677984,1378063,51222711,1556416,1125071,130820732,623246925,754067657,6839000000,0.7396,0.0018,0.0679,0.0021,0.0015,0.1735,,0.1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2010,America,786493468,6811270,4478680,4402911,2755503,103547575,831582993,928209348,6839000000,0.8473,0.0073,0.0048,0.0047,0.003,0.1116,,0.1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
